number|name|description|creditpoints|teachername|address|requirement|semester|faculty|degree
ASKK|Arbeitsschutzfachliche Kenntnisse für Koordinatoren|Die Studierenden erlernen die für die Tätigkeit als Koordinierende erforderlichen Arbeitsschutzfachlichen Kenntnisse nach den Regeln zum Arbeitsschutz auf Baustellen (RAB 30, Abschnitt 4.2). Die Regeln zum Arbeitsschutz auf Baustellen konkretisieren die Verordnung über Sicherheit und Gesundheit auf Baustellen (BaustellV) und dienen der wesentlichen Verbesserung von Sicherheit und Gesundheit der Beschäftigten auf Baustellen. Arbeitsschutzfachliche Kenntnisse sind Bestandteil der erforderlichen Qualifikationen von Sicherheits- und Gesundheitsschutzkoordinatoren (SiGeKo) gemäß Baustellenverordnung.|5|Prof. Dr.-Ing. Katja Andrea Silbe|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=931|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
AVAB|Ausschreibung, Vergabe, Abrechnung|Grundlagen des Themenbereiches Ausschreibung, Vergabe und Abrechnung. Erstellen von Ausschreibungen sämtlicher Leistungsbereiche, Alternative Ausschreibungsverfahren, Vergabeprozess, Abrechnung.|5|Prof. Dipl.-Ing. Dirk Metzger|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=900|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
BAKO|Bachelorarbeit mit Kolloquium|Die Bachelorarbeit wird von einer Professorin oder einem Professor, von einer oder einem Lehrbeauftragten oder (nach Zustimmung des Prüfungsausschusses) von einer in der beruflichen Praxis und Ausbildung erfahrenen Person ausgegeben und betreut. Die Betreuerin oder der Betreuer steht der oder dem Studierenden während der gesamten Bearbeitungszeit beratend zur Verfügung und überzeugt sich in regelmäßigen Abständen vom Fortgang der Arbeit. Bei auftretenden Problemen greift sie oder er gegebenenfalls steuernd ein. Die Betreuerin oder der Betreuer gibt auch rechtzeitig vor der Abgabe Hilfestellung bei der schriftlichen Ausarbeitung und weist auf Mängel hin. Die Studierenden können Themenwünsche äußern. Ein Anspruch auf Berücksichtigung der Themenwünsche besteht nicht.|15|Bartosz CzempielNorbert Stephan HanenbergFlorian HauckProf. Dipl.-Ing. Dirk MetzgerProf. Dipl.-Ing. Thomas MeurerProf. Maik Werner NeumannProf. Dr.-Ing. Alexander PellnitzProf. Dipl.-Ing. Nikolaus Zieske|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=901|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
BINF|Bauinformatik|Grundlagen der Informatik, Computer - Architektur und Netzwerk, Einsatz von Webtechnologien im Bauwesen, Programmieren mit Excel für ausgesuchte Probleme des Bauwesens, Grundlagen von CAD/BIM und grafische Darstellung, architektonische Modelle in 2D und 3D, Datenaustausch zwischen den Planungsphasen.|5|Prof. Dr.-Ing. Joaquin Antonio Diaz Pascual|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=903|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
BINP|Bauinformatik Projekt|Anwendung und Entwicklung von IT-Methoden für das Bauwesen. Bearbeitung aktueller Fragestellungen des Bauwesens in Projekten.|5|Prof. Dr.-Ing. Joaquin Antonio Diaz Pascual|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=933|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
BKO2|Baukonstruktion 2 / Grundlagen des Tragswerksentwurfs|In der Vorlesung werden die Grundlagen zur Findung und Gestaltung von Tragstrukturen unter Berücksichtigung der Materialität behandelt.|5|Achim Vogelsberg|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=905|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
BKO3|Baukonstruktion 3|Baukonstruktiver Gesamtüberblick zu der wärmedämmenden Hülle sowie Detailentwicklung der zu bearbeitenden Projekte. Im Fokus stehen die baukonstruktiven Elemente der Fassade mit Wand, Fenstern und Türen und von Flachdach und geneigten Dächern, ferner ein baukonstruktiver Überblick zu Konstruktionsarten von Treppen mit deren Belägen und Geländern.|5|Prof. Dipl.-Ing. Jürgen Hauck|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=906|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
BKO4|Baukonstruktion 4|Das Modul Baukonstruktion 4 beschäftigt sich mit der inneren Gestaltung von Gebäuden unter Bezugnahme auf die Gebäudestruktur und die Gestaltungsabsicht der Gebäudehülle.|5|Norbert Stephan Hanenberg|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=907|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
BKO5|Baukonstruktion 5 (TGA)|Die Studierenden arbeiten in Planungsteams an praxisorientiert an Hochbauprojekten. Im Vordergrund steht die Entwicklung von Konzepten des Technischen Gebäudeausbaus und deren Wechselwirkung und Integration mit anderen Gewerken.|5|Prof. Dipl.-Ing. Dirk Metzger|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=908|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
BKO1SEPW|Baukonstruktion und SEPW|Im Modul Baukonstruktion 1 werden die konstruktiven Zusammenhänge im Bereich der Hochbauplanung unter besonderer Berücksichtigung bauphysikalischer Einflussgrößen vermittelt. Neben der Vermittlung theoretischen Grundkenntnisse werden Bezüge zur Baupraxis am Beispiel ausgeführter Bauwerke hergestellt. Eventuell aufgetretene Bauschäden werden analysiert.In der SEPW analysieren und erarbeiten die Studierenden im Team unter Anleitung von Tutorinnen und Tutoren dem didaktischen „Prinzip des problembasierten Lernens” (PBL) folgend eine Projektaufgabe aus dem Kontext ihres späteren Berufsfeldes.|5|Markus BlattProf. Dr.-Ing. Julian KümmelProf. Maik Werner Neumann|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=904|Keine|4|FB01-BAU|Architektur(B.Eng.2018)
